id,model1_label,model2_label,model3_label
224,Against,Against,Against
225,Against,Against,Against
226,Against,Against,Against
227,Against,Against,Against
228,Against,Against,Against
229,Against,Against,Against
230,Against,Against,Against
231,Against,Against,Against
232,Against,Against,Against
233,Against,Against,Against
234,Against,Against,Against
235,Against,Against,Favour
236,Against,Against,Against
237,Against,Against,None
238,Favour,Favour,Favour
239,Favour,Favour,Favour
240,Against,Against,Against
241,Against,Against,Against
242,Favour,Favour,Favour
243,Favour,Favour,Favour
244,Favour,Favour,Favour
245,Favour,Favour,Favour
246,Against,Against,Against
247,Favour,Favour,Favour
248,Against,Against,Against
249,Against,Against,Against
250,Favour,Favour,None
251,Favour,Favour,Favour
252,Against,Against,Against
253,Favour,Favour,Favour
254,Against,Against,None
255,Favour,Favour,Favour
256,Favour,Favour,Favour
257,Against,Against,Against
258,Favour,Favour,Favour
259,Against,Against,Against
260,Favour,Favour,Favour
261,Favour,Favour,Favour
262,Favour,Favour,Favour
263,Against,Against,Against
264,Against,Against,Against
265,Against,Against,Against
266,Favour,None,None
267,Favour,Favour,Favour
268,Favour,Favour,Favour
269,Against,Against,Against
270,Favour,Favour,Favour
271,Against,Against,Against
272,Against,Against,Against
273,Favour,Favour,Favour
274,Favour,Favour,Favour
275,Favour,Favour,Favour
276,Favour,Favour,None
277,Favour,Favour,Favour
278,Favour,Favour,Against
279,Favour,Favour,Favour
280,Against,Against,Against
281,Against,Against,Against
282,Favour,Favour,Favour
283,Favour,Favour,Favour
284,Favour,Favour,Favour
285,Favour,Favour,Favour
286,Favour,Favour,Favour
287,Against,Against,Against
288,Against,Against,Against
289,Against,Against,Against
290,Favour,Favour,Favour
291,Favour,Favour,Favour
292,Favour,Favour,Favour
293,Favour,Favour,Favour
294,Against,Against,Against
295,Favour,Favour,Favour
296,Against,Against,Against
297,Against,Against,Against
298,Favour,Favour,Favour
299,Favour,Favour,Favour
300,Favour,Favour,Favour
301,Favour,Favour,Favour
302,Favour,Favour,Favour
303,Favour,Favour,Favour
304,Favour,Favour,Favour
305,Favour,Favour,Favour
306,Favour,Favour,Favour
307,Against,None,None
308,Favour,Favour,None
309,Against,Favour,Favour
310,Against,Against,Favour
311,Favour,Favour,Favour
312,Against,Against,Against
313,Favour,Favour,Favour
314,Against,Against,Against
315,Favour,Favour,Favour
316,Favour,Favour,Favour
317,Against,Against,None
318,Against,Against,Against
319,Against,Against,Against
320,Against,Against,Against
321,Favour,Favour,Favour
322,Against,Against,Against
323,Favour,Favour,Against
324,Favour,Favour,Favour
325,Favour,Favour,Favour
326,Against,Against,Against
327,Favour,Favour,Favour
328,None,None,Against
329,Favour,None,Favour
330,Favour,Against,Against
331,Against,Against,Favour
332,Favour,Favour,Favour
333,Favour,Favour,Favour
334,Favour,Favour,Against
335,Against,Against,Against
336,Against,Against,Against
337,Favour,Favour,Favour
338,Against,None,Against
339,Against,Against,Against
340,Favour,Favour,Favour
341,Favour,Favour,Favour
342,Favour,Favour,Against
343,Favour,Favour,Favour
344,Favour,Favour,Favour
345,Against,Against,Favour
346,Favour,Favour,Favour
347,Favour,Favour,Favour
348,None,None,None
349,Favour,Favour,Favour
350,Against,Against,Against
351,Favour,Favour,Favour
352,Favour,Favour,Favour
353,Against,Against,Against
354,Favour,Favour,Favour
355,None,None,None
356,Against,Against,Against
357,Favour,Favour,Favour
358,Against,Against,Against
359,Favour,Favour,None
360,Against,Against,Against
361,Against,Against,Against
362,Favour,Favour,Favour
363,Favour,Favour,Against
364,Against,Against,Against
365,Against,Against,Against
366,Against,Against,Against
367,Against,Against,Against
368,Favour,Favour,Favour
369,Favour,Against,Against
370,Against,Against,Against
371,Favour,Favour,Against
372,Against,Against,Against
373,Favour,Favour,Favour
374,None,None,None
375,Against,Against,Against
376,Favour,Favour,Favour
377,Against,Against,Against
378,Favour,Favour,Favour
379,Favour,Favour,Favour
380,Favour,Favour,Favour
381,Against,Against,Against
382,Favour,Favour,Favour
383,Favour,Favour,Favour
384,Against,Against,Against
385,Against,Against,Against
386,Against,Against,Against
387,Favour,Favour,Favour
388,None,None,None
389,Favour,Favour,Favour
390,Against,Against,Against
391,Against,Against,Against
392,Favour,Favour,Favour
393,Against,Against,Against
394,Against,Against,Against
395,Favour,Favour,Favour
396,Favour,Favour,None
397,Favour,Favour,Favour
398,Against,Favour,Against
399,Favour,Favour,Favour
400,Favour,Favour,Favour
401,Favour,Favour,Favour
402,Favour,Favour,Favour
403,Favour,Favour,None
404,Favour,Favour,Favour
405,Favour,Favour,Favour
406,Favour,Favour,None
407,Favour,Favour,Favour
408,Favour,Favour,Favour
409,Favour,Favour,Favour
410,Favour,Favour,Favour
411,Favour,Favour,Favour
412,Favour,Favour,Favour
413,Favour,Favour,None
414,Favour,Favour,Favour
415,Favour,Favour,Favour
416,Favour,Favour,Favour
417,Favour,Favour,Favour
418,Favour,Favour,Favour
419,Favour,Favour,Favour
420,Favour,Favour,Favour
421,Favour,Favour,Against
422,Favour,Favour,Favour
423,Favour,Favour,Favour
424,Favour,Favour,Favour
425,Favour,Favour,Favour
426,Favour,Favour,Favour
427,Favour,Favour,Favour
428,Favour,Favour,Favour
429,Favour,Favour,Favour
430,Favour,Favour,Favour
431,Against,Favour,Favour
432,Favour,Favour,Against
433,Favour,Favour,Favour
434,Favour,Favour,Favour
435,Favour,Favour,Favour
436,Favour,Favour,Favour
437,Favour,Favour,Favour
438,Favour,Favour,Favour
439,None,None,Against
440,Favour,Favour,Favour
441,Favour,Favour,Favour
442,Favour,Favour,Favour
443,Favour,Favour,Favour
444,Favour,Favour,Favour
445,Favour,Favour,Favour
446,Favour,Favour,Favour
447,Favour,Favour,Favour
448,None,None,None
449,None,None,Against
450,Favour,Favour,Favour
451,Favour,Favour,Favour
452,Favour,None,None
453,Favour,Favour,Favour
454,Favour,Favour,Favour
455,Favour,Favour,Favour
456,Favour,Favour,Favour
457,Favour,Favour,Favour
458,Favour,Favour,Favour
459,Favour,Favour,Favour
460,Favour,Favour,Against
461,Favour,Favour,None
462,Favour,Favour,Favour
463,Favour,Favour,Favour
464,Favour,Favour,Favour
465,Favour,Favour,Favour
466,Favour,Favour,Favour
467,Favour,Favour,Against
468,Favour,Favour,Favour
469,Favour,Favour,Favour
470,Favour,Favour,Favour
471,Favour,Favour,Against
472,Favour,Favour,Favour
473,Favour,Favour,Favour
474,Favour,Favour,Favour
475,Favour,Favour,Favour
476,Favour,Favour,Favour
477,Favour,Favour,Against
478,Favour,Favour,Favour
479,Favour,Favour,Favour
480,Favour,Favour,Favour
481,Favour,Favour,Favour
482,Favour,Favour,Favour
483,Against,None,Against
484,Favour,Favour,Favour
485,Favour,Favour,Favour
486,Favour,Favour,None
487,Favour,Favour,Favour
488,Favour,Favour,Favour
489,Favour,Favour,Favour
490,Favour,Favour,Favour
491,Favour,Favour,Favour
492,Favour,Favour,Favour
493,Favour,Favour,Favour
494,Favour,Favour,Against
495,Favour,Favour,Favour
496,Favour,Favour,Favour
497,Favour,Favour,Favour
498,Favour,Favour,Favour
499,Favour,Favour,Favour
500,Favour,Favour,Favour
